id,date_on_outdoorsy,make,year,daily_rate_cents,weekly_rate_cents,monthly_rate_cents,min_days,security_deposit_cents,num_miles_free_daily,per_mile_cents,location,num_favorites,this_year_bookings,this_year_revenue,average_trip_revenue,average_trip_duration_days,last_year_bookings,last_year_revenue,url
19784,2017-08-18,Ford,2013,12900,90300,305200,2,100000,100,50,Pacifica,1519,13,10836,833.5384615384615,6.461538461538462,10,2322,https://www.outdoorsy.com/rv-rental/pacifica_ca/2013_ford_transit_19784-listing
281994,2022-02-19,Dodge,2005,12000,75600,235200,0,50000,100,35,Oakland,70,9,13152,1461.3333333333333,15.11111111111111,0,0,https://www.outdoorsy.com/rv-rental/oakland_ca/2005_dodge_sprinter-van_281994-listing
210606,2021-02-12,Ram,2019,18000,126000,504000,2,100000,125,50,San Francisco/Oakland,590,8,37980,4747.5,27.375,5,21060,https://www.outdoorsy.com/rv-rental/san-franciscooakland_ca/2019_ram_promaster_210606-listing
269742,2021-11-12,Mercedes,2017,22900,144270,512960,0,50000,100,35,Castro Valley,146,10,16281,1628.19,7.6,0,0,https://www.outdoorsy.com/rv-rental/castro-valley_ca/2017_mercedes_sprinter_269742-listing
263920,2021-09-30,Thor Motor Coach,2022,22900,144270,577080,0,100000,150,35,Walnut Creek,32,3,37372,12457.6,63.333333333333336,0,0,https://www.outdoorsy.com/rv-rental/walnut-creek_ca/2022_mercedes_sprinter_263920-listing
284664,2022-03-06,Ford,2018,14900,104300,417200,2,100000,0,N/A,Pacifica,23,7,8940,1277.142857142857,8.571428571428571,0,0,https://www.outdoorsy.com/rv-rental/pacifica_ca/2018_ford_transit_284664-listing
55607,2018-05-30,Ford,2011,12900,90300,305200,2,100000,100,50,Pacifica,169,13,8772,674.7692307692307,5.230769230769231,9,4902,https://www.outdoorsy.com/rv-rental/pacifica_ca/2011_ford_transit_55607-listing
231918,2021-05-24,Dodge,2006,15500,107725,430900,0,50000,150,65,Oakland,113,11,11276,1025.1136363636363,6.636363636363637,3,9245,https://www.outdoorsy.com/rv-rental/oakland_ca/2006_dodge_sprinter_231918-listing
279078,2022-02-02,Dodge,2018,19000,126350,494760,0,100000,100,60,El Cerrito,22,5,3733,746.7,4,0,0,https://www.outdoorsy.com/rv-rental/el-cerrito_ca/2018_dodge_pro-master-2500_279078-listing
287911,2022-03-23,Winnebago,2022,25000,157500,630000,0,120000,100,59,San Francisco,13,9,15275,1697.2222222222222,7.333333333333333,0,0,https://www.outdoorsy.com/rv-rental/san-francisco_ca/2022_winnebago_solis_287911-listing
